City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Katsuura,JP,35.1333,140.3,79.63,81,44,15.3,scattered clouds
1,Qaanaaq,GL,77.484,-69.3632,31.87,84,82,1.23,broken clouds
2,Mount Holly,US,35.2982,-81.0159,85.1,63,75,10.36,broken clouds
3,Mount Isa,AU,-20.7333,139.5,71.37,64,75,3.44,broken clouds
4,Port Elizabeth,ZA,-33.918,25.5701,56.32,98,0,5.75,clear sky
5,Hithadhoo,MV,-0.6,73.0833,81.79,71,100,15.48,overcast clouds
6,Kankakee,US,41.15,-87.8667,81.82,61,0,9.22,clear sky
7,Mar Del Plata,AR,-38.0023,-57.5575,63.09,76,35,11.99,scattered clouds
8,Avarua,CK,-21.2078,-159.775,78.85,73,40,18.41,scattered clouds
9,Sistranda,NO,63.7256,8.834,48.16,68,28,3.94,scattered clouds
10,Yellowknife,CA,62.456,-114.3525,50.52,66,75,12.66,broken clouds
11,Souillac,MU,-20.5167,57.5167,70.18,78,75,6.91,broken clouds
12,Bongor,TD,10.2806,15.3722,76.41,85,89,4.32,overcast clouds
13,Cherskiy,RU,68.75,161.3,54.39,42,60,13.96,broken clouds
14,Touros,BR,-5.1989,-35.4608,75.11,79,0,17.4,clear sky
15,Jamestown,US,42.097,-79.2353,68.18,69,100,8.05,overcast clouds
16,Albany,US,42.6001,-73.9662,68.88,85,97,1.23,overcast clouds
17,Cape Town,ZA,-33.9258,18.4232,58.91,87,0,15.01,clear sky
18,Minsk,BY,53.9,27.5667,51.55,90,100,5.68,overcast clouds
19,Nakhon Phanom,TH,17.3333,104.4167,82.08,96,100,1.83,overcast clouds
20,Atuona,PF,-9.8,-139.0333,76.8,81,29,28.16,light rain
21,Jaicos,BR,-7.3592,-41.1378,81.14,31,39,8.08,scattered clouds
22,Bambous Virieux,MU,-20.3428,57.7575,70.05,78,75,6.91,broken clouds
23,Altamira,BR,-3.2033,-52.2064,82.49,69,40,3.44,scattered clouds
24,Buraydah,SA,26.326,43.975,86.45,11,0,5.88,clear sky
25,Ous,RU,60.9058,61.5186,42.13,93,96,3.76,overcast clouds
26,East London,ZA,-33.0153,27.9116,63.0,87,21,10.8,few clouds
27,Sassandra,CI,4.95,-6.0833,72.27,94,56,5.84,broken clouds
28,Pevek,RU,69.7008,170.3133,43.56,62,8,15.97,clear sky
29,Rikitea,PF,-23.1203,-134.9692,72.77,74,6,23.94,clear sky
30,Collie,AU,-33.3667,116.15,41.97,90,75,3.13,broken clouds
31,Astana,KZ,51.1801,71.446,40.95,60,0,6.71,clear sky
32,Punta Arenas,CL,-53.15,-70.9167,39.31,65,100,11.5,overcast clouds
33,Barrow,US,71.2906,-156.7887,48.22,66,0,8.05,clear sky
34,Niamey,NE,13.5137,2.1098,82.69,78,20,8.05,thunderstorm
35,Slave Lake,CA,55.2834,-114.769,66.18,34,0,17.27,clear sky
36,Bismarck,US,46.8083,-100.7837,96.64,24,0,13.8,haze
37,Vaini,TO,-21.2,-175.2,80.76,89,20,8.05,few clouds
38,Ostersund,SE,63.1792,14.6357,48.65,87,83,14.97,broken clouds
39,Ixtapa,MX,20.7,-105.2,90.63,62,100,4.61,overcast clouds
40,Puerto Ayora,EC,-0.7393,-90.3518,68.56,94,100,8.01,overcast clouds
41,Mataura,NZ,-46.1927,168.8643,45.48,92,95,1.92,overcast clouds
42,Byron Bay,AU,-28.65,153.6167,59.94,69,19,1.48,light rain
43,Ushuaia,AR,-54.8,-68.3,37.06,70,40,3.44,scattered clouds
44,Dikson,RU,73.5069,80.5464,37.6,87,100,19.93,light rain
45,Umm Kaddadah,SD,13.6017,26.6876,78.78,64,100,18.48,overcast clouds
46,New Norfolk,AU,-42.7826,147.0587,49.91,81,89,1.45,overcast clouds
47,Marawi,PH,7.9986,124.2928,71.49,91,99,0.65,overcast clouds
48,Vikulovo,RU,56.8167,70.6107,40.1,96,96,9.19,overcast clouds
49,Chara,RU,56.9064,118.2631,41.67,67,11,2.37,few clouds
50,San Cristobal,VE,7.7669,-72.225,82.58,87,39,4.34,scattered clouds
51,Colac,AU,-38.3333,143.5833,53.17,89,100,13.13,overcast clouds
52,Sao Filipe,CV,14.8961,-24.4956,78.71,88,74,15.61,broken clouds
53,Busselton,AU,-33.65,115.3333,47.44,84,83,5.46,broken clouds
54,Bredasdorp,ZA,-34.5322,20.0403,47.95,94,9,0.78,clear sky
55,Arraial Do Cabo,BR,-22.9661,-42.0278,68.79,75,42,28.19,scattered clouds
56,Bossangoa,CF,6.4926,17.4552,71.04,94,99,2.51,overcast clouds
57,Dunedin,NZ,-45.8742,170.5036,48.79,69,98,1.99,overcast clouds
58,Saint-Philippe,RE,-21.3585,55.7679,69.39,74,15,5.73,few clouds
59,Kavieng,PG,-2.5744,150.7967,84.29,70,63,12.88,broken clouds
60,Salalah,OM,17.0151,54.0924,77.09,94,100,5.75,light intensity drizzle
61,Tuktoyaktuk,CA,69.4541,-133.0374,42.8,87,100,12.66,light intensity drizzle
62,Margate,GB,51.3813,1.3862,60.91,92,100,3.0,moderate rain
63,Clyde River,CA,70.4692,-68.5914,35.83,100,100,14.97,overcast clouds
64,Juliaca,PE,-15.5,-70.1333,60.78,13,0,13.8,clear sky
65,Erenhot,CN,43.6475,111.9767,66.76,29,0,10.4,clear sky
66,Malibu,US,34.005,-118.8101,109.26,37,21,8.72,few clouds
67,Klimovo,RU,52.3805,32.1923,47.39,55,100,6.96,overcast clouds
68,Rio Gallegos,AR,-51.6226,-69.2181,39.25,60,0,18.41,clear sky
69,Dzilam Gonzalez,MX,21.2833,-88.9333,84.09,69,77,5.66,broken clouds
70,Katobu,ID,-4.9408,122.5276,76.41,88,61,3.49,broken clouds
71,Ayan,RU,56.45,138.1667,50.52,72,89,26.89,overcast clouds
72,Saint George,US,37.1041,-113.5841,106.43,16,0,10.36,clear sky
73,Pombas,CV,17.1503,-25.0201,78.58,83,44,10.29,scattered clouds
74,Kodiak,US,57.79,-152.4072,54.91,82,100,13.8,light rain
75,Alice Springs,AU,-23.7,133.8833,57.22,26,0,5.75,clear sky
76,Ribeira Grande,PT,38.5167,-28.7,75.61,92,100,19.91,light rain
77,Hermanus,ZA,-34.4187,19.2345,51.8,88,3,8.21,clear sky
78,Igarka,RU,67.4667,86.5833,31.68,84,100,12.01,overcast clouds
79,Saskylakh,RU,71.9167,114.0833,36.66,82,98,9.28,overcast clouds
80,Lebu,CL,-37.6167,-73.65,45.54,67,38,10.54,scattered clouds
81,Cabedelo,BR,-6.9811,-34.8339,74.07,77,8,16.98,clear sky
82,Half Moon Bay,US,37.4636,-122.4286,107.55,45,0,10.36,clear sky
83,San Patricio,US,28.017,-97.5169,89.92,48,88,6.17,overcast clouds
84,Tasiilaq,GL,65.6145,-37.6368,41.16,99,100,3.02,light rain
85,Bluff,NZ,-46.6,168.3333,46.8,63,86,2.71,overcast clouds
86,Marabba,SD,12.35,32.1833,76.73,81,68,9.73,light rain
87,Chokurdakh,RU,70.6333,147.9167,54.59,48,100,12.08,overcast clouds
88,Durres,AL,41.3231,19.4414,68.18,60,2,3.74,clear sky
89,Wamba,NG,8.9333,8.6,70.97,95,95,1.63,overcast clouds
90,Mehriz,IR,31.5917,54.4318,73.9,12,0,1.32,clear sky
91,Cidreira,BR,-30.1811,-50.2056,61.02,93,21,10.89,few clouds
92,Castro,BR,-24.7911,-50.0119,57.9,94,14,3.27,few clouds
93,Bethel,US,41.3712,-73.414,70.93,76,94,3.0,overcast clouds
94,Apucarana,BR,-23.5508,-51.4608,64.53,82,5,3.98,clear sky
95,Fort Nelson,CA,58.8053,-122.7002,54.99,71,75,5.75,broken clouds
96,Carnarvon,AU,-24.8667,113.6333,61.88,49,98,10.98,overcast clouds
97,Hilo,US,19.7297,-155.09,88.29,74,75,12.66,broken clouds
98,Nobres,BR,-14.7203,-56.3275,90.57,23,25,4.56,scattered clouds
99,Cadillac,US,44.2519,-85.4012,76.91,38,0,4.61,clear sky
100,Brewer,US,44.7967,-68.7614,71.92,57,20,0.0,few clouds
101,Palaikastron,GR,35.2,26.25,74.46,72,0,25.37,clear sky
102,Sorong,ID,-0.8833,131.25,78.13,87,83,5.66,broken clouds
103,Port Augusta,AU,-32.5,137.7667,54.93,79,50,12.01,scattered clouds
104,Pokosnoye,RU,55.5258,101.0536,52.74,92,87,6.31,overcast clouds
105,Anadyr,RU,64.75,177.4833,46.9,61,0,6.71,clear sky
106,Great Yarmouth,GB,52.6083,1.7305,61.41,80,68,8.37,broken clouds
107,Port Macquarie,AU,-31.4333,152.9167,60.89,71,61,9.06,broken clouds
108,Ballina,AU,-28.8667,153.5667,62.02,88,28,1.28,scattered clouds
109,Georgetown,MY,5.4112,100.3354,78.73,97,20,2.3,few clouds
110,Dondo,MZ,-19.6094,34.7431,65.86,89,0,2.17,clear sky
111,Urumqi,CN,43.801,87.6005,76.15,18,0,11.18,clear sky
112,Mapimi,MX,25.8167,-103.85,76.32,52,99,5.84,overcast clouds
113,San Ramon De La Nueva Oran,AR,-23.1322,-64.326,75.42,29,18,2.24,few clouds
114,Alofi,NU,-19.0595,-169.9187,82.29,61,3,11.5,clear sky
115,Bengkulu,ID,-3.8004,102.2655,73.44,88,100,4.47,overcast clouds
116,Northam,GB,51.0333,-4.2167,59.4,95,73,16.67,light rain
117,Kapaa,US,22.0752,-159.319,84.11,73,75,12.66,broken clouds
118,Belmonte,BR,-15.8631,-38.8828,70.5,82,96,11.7,overcast clouds
119,Farsund,NO,58.0948,6.8047,59.95,24,100,20.2,light rain
120,Inhambane,MZ,-23.865,35.3833,70.32,62,100,7.07,overcast clouds
121,Neuquen,AR,-38.9516,-68.0591,57.09,21,0,8.05,clear sky
122,Hokitika,NZ,-42.7167,170.9667,49.68,76,35,3.53,scattered clouds
123,Eregli,TR,37.5133,34.0467,56.48,41,0,1.1,clear sky
124,Pitimbu,BR,-7.4706,-34.8086,73.99,75,9,15.01,clear sky
125,Padang,ID,-0.9492,100.3543,76.96,74,100,4.32,overcast clouds
126,Srednekolymsk,RU,67.45,153.6833,58.73,39,100,10.8,overcast clouds
127,Asau,RO,46.4333,26.4,51.28,91,14,4.68,few clouds
128,Pisco,PE,-13.7,-76.2167,62.65,77,100,10.36,overcast clouds
129,Hobart,AU,-42.8794,147.3294,50.25,91,75,9.22,broken clouds
130,Jabinyanah,TN,35.035,10.9081,84.0,73,49,11.36,scattered clouds
131,Cabo San Lucas,MX,22.8909,-109.9124,81.05,87,100,28.77,overcast clouds
132,Malangwa,NP,26.8568,85.5581,79.65,83,75,4.09,broken clouds
133,Kyra,RU,49.5776,111.9753,55.62,73,61,3.65,broken clouds
134,Tiksi,RU,71.6872,128.8694,42.62,83,98,5.7,overcast clouds
135,Bogdana,RO,43.9333,25.0833,65.88,49,5,4.12,light rain
136,Thompson,CA,55.7435,-97.8558,71.76,35,75,9.22,broken clouds
137,Vidim,RU,56.4088,103.1106,51.98,90,100,7.52,overcast clouds
138,Algiers,DZ,36.7525,3.042,79.14,66,41,5.26,scattered clouds
139,Samarai,PG,-10.6167,150.6667,81.27,78,37,9.19,scattered clouds
140,Hovd,MN,48.0056,91.6419,62.78,23,0,9.75,clear sky
141,Lewiston,US,44.1003,-70.2148,67.71,87,36,4.61,scattered clouds
142,Kahului,US,20.8947,-156.47,89.62,64,20,25.32,few clouds
143,Lazaro Cardenas,MX,17.9583,-102.2,84.34,69,54,9.24,broken clouds
144,Bathsheba,BB,13.2167,-59.5167,83.01,78,20,8.05,few clouds
145,Tanggulangin,ID,-7.4996,112.6999,76.96,94,20,2.3,haze
146,Hachinohe,JP,40.5,141.5,70.16,65,31,1.03,scattered clouds
147,Moindou,NC,-21.6924,165.677,71.87,66,14,5.86,few clouds
148,Santa Maria,BR,-29.6842,-53.8069,63.7,63,20,2.3,few clouds
149,Pindi Gheb,PK,33.2402,72.2661,86.02,58,0,6.78,clear sky
150,Teguldet,RU,57.3064,88.1667,49.37,69,15,16.98,few clouds
151,Upernavik,GL,72.7868,-56.1549,37.58,80,97,5.82,overcast clouds
152,Peleduy,RU,59.6289,112.7406,43.61,88,100,3.62,overcast clouds
153,Butaritari,KI,3.0707,172.7902,81.72,72,100,14.7,overcast clouds
154,Beloha,MG,-25.1667,45.05,67.44,74,84,11.14,broken clouds
155,Dalnegorsk,RU,44.5604,135.5701,65.59,64,0,6.51,clear sky
156,Mao,ES,39.8885,4.2658,79.36,89,20,8.05,few clouds
157,Pangnirtung,CA,66.1451,-65.7125,51.8,58,100,19.57,overcast clouds
158,Constitucion,CL,-35.3333,-72.4167,47.75,83,94,8.1,overcast clouds
159,Muli,MV,2.9167,73.5667,81.39,77,91,14.5,overcast clouds
160,Haines Junction,CA,60.7522,-137.5108,62.55,36,53,6.91,broken clouds
161,Beaverlodge,CA,55.2166,-119.4361,63.75,34,55,20.69,broken clouds
162,Pacific Grove,US,36.6177,-121.9166,92.88,70,0,5.75,clear sky
163,Nikolskoye,RU,59.7035,30.7861,46.78,96,53,4.41,broken clouds
164,Mount Gambier,AU,-37.8333,140.7667,55.31,100,100,17.27,moderate rain
165,Grand Gaube,MU,-20.0064,57.6608,70.2,74,51,3.0,broken clouds
166,Nautla,MX,20.2167,-96.7833,83.43,72,52,9.66,broken clouds
167,Anloga,GH,5.7947,0.8973,76.77,88,8,14.03,clear sky
168,Leningradskiy,RU,69.3833,178.4167,44.67,52,4,8.52,clear sky
169,Torbay,CA,47.6666,-52.7314,55.27,80,75,9.22,broken clouds
170,Parkes,AU,-33.1333,148.1833,59.36,67,100,8.01,moderate rain
171,Guerrero Negro,MX,27.9769,-114.0611,79.81,72,91,26.22,overcast clouds
172,Kanniyakumari,IN,8.0833,77.5667,77.41,87,100,19.48,overcast clouds
173,Fairbanks,US,64.8378,-147.7164,57.24,82,75,1.01,broken clouds
174,Kamenka,RU,51.3223,42.7678,45.59,53,100,8.08,overcast clouds
175,Khatanga,RU,71.9667,102.5,29.3,91,87,8.61,overcast clouds
176,Talnakh,RU,69.4865,88.3972,33.21,82,12,2.19,few clouds
177,Cayenne,GF,4.9333,-52.3333,80.64,78,82,4.61,broken clouds
178,Vestmannaeyjar,IS,63.4427,-20.2734,53.56,88,100,8.08,overcast clouds
179,Victor Harbor,AU,-35.5667,138.6167,55.99,88,64,1.01,broken clouds
180,Japura,ID,-0.3167,102.35,70.7,94,100,2.42,overcast clouds
181,Mamallapuram,IN,12.6264,80.1722,78.85,81,100,11.36,overcast clouds
182,Port Blair,IN,11.6667,92.75,75.24,94,100,1.14,drizzle
183,Bafoulabe,ML,13.8065,-10.8321,73.51,86,95,3.47,light rain
184,Filingue,NE,14.3521,3.3168,80.91,63,94,8.95,overcast clouds
185,Klaksvik,FO,62.2266,-6.589,58.12,97,65,17.67,light rain
186,Severo-Kurilsk,RU,50.6789,156.125,56.5,93,100,16.96,light rain
187,Erzin,TR,36.9559,36.2,72.54,69,0,2.04,clear sky
188,Pocoes,BR,-14.5297,-40.3653,59.7,97,100,3.96,overcast clouds
189,Carutapera,BR,-1.195,-46.02,77.07,86,100,6.73,overcast clouds
190,Darhan,MN,49.4867,105.9228,59.34,62,42,4.9,scattered clouds
191,Coquimbo,CL,-29.9533,-71.3436,53.33,76,75,8.05,broken clouds
192,Ponta Do Sol,PT,32.6667,-17.1,74.03,79,6,2.86,clear sky
193,Kaitangata,NZ,-46.2817,169.8464,48.18,62,96,0.74,overcast clouds
194,Jalu,LY,29.0331,21.5482,75.99,45,1,12.3,clear sky
195,Rosarito,MX,32.3333,-117.0333,98.64,62,8,7.09,clear sky
196,Peniche,PT,39.3558,-9.3811,69.57,88,89,7.31,overcast clouds
197,Vilyuysk,RU,63.7553,121.6247,42.76,87,97,7.76,overcast clouds
198,Rjukan,NO,59.8789,8.5941,52.05,77,69,2.89,broken clouds
199,Sitka,US,57.0531,-135.33,62.49,63,75,10.36,broken clouds
200,Walvis Bay,NA,-22.9575,14.5053,56.08,94,0,3.44,clear sky
201,Havre,FR,49.5833,0.3333,62.37,88,75,12.66,broken clouds
202,Narasannapeta,IN,18.4167,84.05,79.29,84,99,5.7,overcast clouds
203,Morrope,PE,-6.5417,-80.0111,66.31,75,47,16.33,scattered clouds
204,Hofn,IS,64.2539,-15.2082,52.65,89,100,3.62,overcast clouds
205,Ust-Maya,RU,60.4167,134.5333,41.7,96,100,13.78,light rain
206,Harlingen,US,26.1906,-97.6961,89.69,75,0,11.5,clear sky
207,Novki,RU,56.3608,41.0775,44.26,96,100,4.52,overcast clouds
208,Zapolyarnyy,RU,69.4154,30.8136,42.08,77,100,6.98,overcast clouds
209,Natal,BR,-5.795,-35.2094,77.22,73,20,12.66,few clouds
210,Boyolangu,ID,-8.1181,111.8935,74.37,94,77,1.72,broken clouds
211,Miyako,JP,39.6367,141.9525,71.15,78,97,7.92,overcast clouds
212,Miles City,US,46.4083,-105.8406,101.37,15,0,6.91,clear sky
213,Batemans Bay,AU,-35.7167,150.1833,58.1,92,100,4.99,light rain
214,Deputatskiy,RU,69.3,139.9,38.19,92,100,7.18,light rain
215,Puksoozero,RU,62.5903,40.6066,34.75,98,80,5.48,broken clouds
216,Tessalit,ML,20.1986,1.0114,94.15,13,4,8.93,clear sky
217,Scarborough,GB,54.2797,-0.4044,58.33,90,90,1.01,overcast clouds
218,Ambilobe,MG,-13.2,49.05,63.86,79,11,4.27,few clouds
219,Lafia,NG,8.4833,8.5167,73.09,95,99,3.0,light rain
220,Plainview,US,40.7765,-73.4673,72.88,76,100,8.05,overcast clouds
221,Port Said,EG,31.2565,32.2841,80.24,76,1,7.83,clear sky
222,Kikuyu,KE,-1.2458,36.6633,55.83,81,99,3.04,overcast clouds
223,Ventspils,LV,57.3894,21.5606,40.93,100,0,1.14,clear sky
224,Tiarei,PF,-17.5333,-149.3333,82.42,77,9,22.86,light rain
225,Grindavik,IS,63.8424,-22.4338,52.27,93,75,2.3,broken clouds
226,Takikawa,JP,43.5528,141.9064,64.62,63,0,4.36,clear sky
227,Carbonia,IT,39.1672,8.5222,79.45,89,36,2.91,scattered clouds
228,Murgab,TM,37.4966,61.9714,71.47,43,0,4.61,clear sky
